Gender,Age,Education,Work Experience,Position,Position Lead time ,Positon Processing time,Recruitment Resource,Method of Selection,Training undertaken,Performance,Tenure,Recruitment Cost ,Job Satisfaction,Recruitment cost per resource (In Rs),Cost of Hire Per Position Cost (in Rs)
Female,Upper,Other,14+,MGR sales,2 Month,2 Week,News Paper 3,Assessment,Yes,High,Yes,Low,Medium,100,1200
Male,Upper,Other,14+,MGR sales,2 Month,2 Week,News Paper 1,Assessment,Yes,Low,Yes,Low,High,50,1200
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Campus,Test,No,High,No,Medium,Low,85,230
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Campus,Test,No,High,No,Medium,Low,85,230
Female,Upper,PG,14+,MGR HR,2 Month,2 Week,News Paper 3,Personal Interview,Yes,High,Yes,Low,Medium,100,900
Female,Upper,PG,12+,MGR sales,2 Month,2 Week,News Paper 3,Assessment,Yes,High,No,Low,High,100,1000
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Campus,Test,No,High,No,Medium,Low,85,230
Male,Upper,UG,10+,ASST MGR HR,2 Month,2 Week,News Paper 3,Group Interview,Yes,High,Yes,Low,High,100,900
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Campus,Test,No,High,No,Medium,Low,85,230
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Campus,Test,No,High,No,Medium,Low,85,230
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Campus,Test,No,High,No,Medium,Low,85,230
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Campus,Test,No,High,No,Medium,Low,85,230
Male,Young,PG,>1,HR Trainee,3 Month,4 Week,Campus,Test,No,High,No,Medium,Low,85,100
Female,Upper,UG,10+,ASST MGR HR,2 Month,2 Week,News Paper 3,Group Interview,Yes,High,Yes,Low,High,100,900
Male,Upper,UG,10+,ASST MGR HR,2 Month,2 Week,News Paper 3,Group Interview,Yes,High,Yes,Low,High,100,900
Male,Young,PG,>1,HR Trainee,3 Month,4 Week,Campus,Test,No,High,No,Medium,Low,85,100
Male,Young,PG,>1,Sales man,3 Month,4 Week,Campus,Test,No,High,No,Medium,Low,85,150
Male,Young,PG,>1,HR Trainee,3 Month,4 Week,Campus,Test,No,High,No,Medium,Medium,85,100
Male,Young,PG,>1,Sales man,3 Month,4 Week,Campus,Test,No,Low,No,Medium,Medium,85,150
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Campus,Test,No,Low,Yes,Medium,Medium,85,230
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Campus,Test,No,Low,Yes,Medium,Medium,85,230
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Campus,Test,No,Medium,Yes,Medium,Medium,85,230
Female,Upper,UG,10+,ASST MGR HR,2 Month,2 Week,News Paper 3,Group Interview,Yes,High,Yes,Low,High,100,900
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Campus,Test,No,Medium,Yes,Medium,Medium,85,230
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Reference,Test,No,Medium,Yes,Low,High,35,230
Female,Upper,UG,10+,ASST MGR HR,2 Month,2 Week,Consultancy,Group Interview,Yes,High,Yes,High,High,150,900
Female,Upper,UG,10+,ASST MGR HR,2 Month,2 Week,Consultancy,Group Interview,No,Medium,No,High,Medium,150,900
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Reference,Test,No,Medium,Yes,Low,High,35,230
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,Reference,Test,No,High,Yes,Low,High,35,230
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,E-Recruitment,walk-In,No,High,No,Medium,Medium,100,230
Male,Upper,UG,10+,ASST MGR HR,2 Month,2 Week,Consultancy,Group Interview,No,Low,No,High,Low,150,900
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,E-Recruitment,walk-In,No,High,No,Medium,Medium,100,230
Female,Upper,UG,12+,MGR sales,2 Month,2 Week,Consultancy,Assessment,Yes,High,Yes,High,Medium,150,1000
Female,Middle,UG,8+,MGR HR,2 Month,2 Week,Reference,Personal Interview,Yes,High,Yes,Low,High,35,750
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,E-Recruitment,walk-In,No,High,No,Medium,High,100,230
Female,Middle,UG,8+,MGR HR,2 Month,2 Week,Reference,Personal Interview,Yes,High,Yes,Low,High,35,750
Female,Middle,UG,8+,MGR HR,2 Month,2 Week,Reference,Personal Interview,Yes,High,Yes,Low,High,35,750
Male,Upper,UG,12+,MGR sales,2 Month,2 Week,Job Portal,Assessment,Yes,Medium,Yes,High,Medium,120,1000
Male,Young,UG,>1,Sales Trainee,3 Month,4 Week,E-Recruitment,walk-In,No,High,No,Medium,High,100,230
Female,Middle,UG,8+,MGR HR,2 Month,2 Week,Reference,Personal Interview,Yes,High,Yes,Low,High,35,750
Female,Middle,UG,8+,MGR HR,2 Month,2 Week,Reference,Personal Interview,No,High,Yes,Low,High,35,750
Male,Middle,UG,8+,MGR HR,2 Month,2 Week,Reference,Personal Interview,No,Medium,Yes,Low,High,35,750
Female,Middle,UG,8+,MGR sales,2 Month,2 Week,Reference,Assessment,No,Medium,Yes,Low,High,35,800
Male,Middle,UG,8+,MGR sales,2 Month,2 Week,Reference,Assessment,No,Medium,Yes,Low,High,35,800
